country,year,price_index_2015_100
France,2015,100.0
France,2016,155.7
France,2017,156.55
France,2018,143.31
France,2019,200.72
France,2020,194.66
France,2021,186.97
France,2022,208.84
France,2023,246.07
Germany,2015,100.1
Germany,2016,139.1
Germany,2017,109.8
Germany,2018,133.3
Germany,2019,170.6
Germany,2020,103.3
Germany,2021,98.4
Germany,2022,163.7
Germany,2023,244.2
Netherlands,2015,100.0
Netherlands,2016,125.5
Netherlands,2017,118.5
Netherlands,2018,118.9
Netherlands,2019,138.3
Netherlands,2020,91.4
Netherlands,2021,107.2
Netherlands,2022,146.3
Netherlands,2023,188.8
Poland,2015,100.0
Poland,2016,108.79
Poland,2017,103.06
Poland,2018,115.71
Poland,2019,249.95
Poland,2020,146.22
Poland,2021,138.79
Poland,2022,192.47
Poland,2023,254.33
