country,year,area_ha,production_t,yield_t_ha
France,2015,167510.0,7119840.0,42.51
France,2016,179130.0,6954980.0,38.83
France,2017,194060.0,8547350.0,44.05
France,2018,199560.0,7860380.0,39.4
France,2019,207160.0,8560410.0,41.44
France,2020,216420.0,8822180.0,40.76
France,2021,211590.0,8987220.0,42.47
France,2022,211670.0,8067380.0,37.98
France,2023,204010.0,8606490.0,42.19
Germany,2015,236700.0,10370200.0,43.81
Germany,2016,242500.0,10772100.0,44.42
Germany,2017,250500.0,11720000.0,46.79
Germany,2018,252200.0,8920800.0,35.38
Germany,2019,271600.0,10602200.0,39.03
Germany,2020,273500.0,11715100.0,42.83
Germany,2021,258300.0,11312100.0,43.79
Germany,2022,266400.0,10683400.0,40.11
Germany,2023,264700.0,11607300.0,43.85
Netherlands,2015,155660.0,6651690.0,42.69
Netherlands,2016,155590.0,6534340.0,42.88
Netherlands,2017,160790.0,7391880.0,46.0
Netherlands,2018,164600.0,6025370.0,36.61
Netherlands,2019,165730.0,6961230.0,42.0
Netherlands,2020,164500.0,7020060.0,42.67
Netherlands,2021,159040.0,6675590.0,
Netherlands,2022,162300.0,6915900.0,
Netherlands,2023,155340.0,6491890.0,41.8
Poland,2015,292500.0,6151800.0,21.04
Poland,2016,300700.0,8624000.0,28.51
Poland,2017,321260.0,8956040.0,27.88
Poland,2018,290970.0,7311960.0,25.1
Poland,2019,302480.0,6481620.0,21.43
Poland,2020,226070.0,7859510.0,34.77
Poland,2021,235830.0,7081460.0,30.03
Poland,2022,196110.0,6030930.0,30.75
Poland,2023,188580.0,5590030.0,29.64
