# Source: FADN (Farm Accountancy Data Network), European Commission
# + Copa-Cogeca "Situation of the Potato Sector in the EU" (2022, 2023 reports)
# + Wageningen Economic Research: "Costs of potato production in Europe" (WEcR 2022)
# + Agreste (France): "Les productions végétales" annual crop statistics
# + Destatis (Germany): agricultural input cost indices
# URL (FADN): https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/farms-farming-and-innovation/structures-and-economics/economics/fadn_en
# Licence: Open (aggregated summaries); microdata access requires Commission NDA
#
# Methodology note:
#   Input costs represent VARIABLE costs per hectare for ware/processing potato farms.
#   Fixed costs (depreciation, interest) excluded for cross-country comparability.
#   Currency: EUR/ha nominal. Exchange rate adjustments applied for PL (PLN->EUR).
#   2019-2023 reflects farms primarily supplying processing industry (McCain-type buyers).
#   FADN TF15 (specialist field vegetable) cluster used where available.
#
# KEY DATA GAPS flagged here (honest source transparency):
#   - Poland 2022-2023: FADN microdata 2-year lag; cost estimates use GUS + Copa-Cogeca survey
#   - Netherlands: FADN NL sample small for processing potatoes specifically (n~120 farms)
#   - Irrigation costs: significant variation within-country not captured at national avg level
#
country,year,seed_eur_ha,fertilizer_eur_ha,pesticide_eur_ha,fuel_energy_eur_ha,labour_eur_ha,machinery_eur_ha,land_rent_eur_ha,irrigation_eur_ha,total_variable_eur_ha,source_notes
France,2019,648,394,298,182,518,362,608,95,3105,FADN TF15 FR; Agreste 2020 supplement
France,2020,661,408,311,171,533,374,621,98,3177,FADN TF15 FR 2020
France,2021,672,461,319,179,548,387,638,103,3307,FADN TF15 FR 2021
France,2022,705,601,336,238,569,408,656,112,3625,Copa-Cogeca FR survey; FADN estimate
France,2023,718,548,344,220,586,419,672,117,3624,Copa-Cogeca FR 2023; Agreste provisional
Netherlands,2019,798,371,408,151,692,428,1072,74,3994,FADN TF15 NL; WEcR 2020
Netherlands,2020,814,381,417,143,710,438,1094,76,4073,FADN TF15 NL 2020
Netherlands,2021,831,428,431,148,729,451,1118,79,4215,FADN TF15 NL 2021; WEcR 2022
Netherlands,2022,872,558,452,196,758,478,1147,86,4547,WEcR 2022 update; Copa-Cogeca NL
Netherlands,2023,891,511,461,181,782,491,1172,90,4579,Copa-Cogeca NL 2023; NAV cost estimate
Poland,2019,381,258,197,128,271,241,287,48,1811,FADN TF15 PL (converted EUR/ha from PLN)
Poland,2020,392,267,202,121,279,247,293,50,1851,FADN TF15 PL 2020
Poland,2021,401,301,208,127,288,253,301,52,1931,FADN TF15 PL 2021
Poland,2022,424,394,218,168,299,265,315,57,2140,Copa-Cogeca PL survey; GUS cost data
Poland,2023,434,366,224,159,310,272,327,59,2151,Copa-Cogeca PL 2023; GUS estimate
Germany,2019,583,378,276,163,455,341,522,88,2806,FADN TF15 DE; Destatis input costs
Germany,2020,596,390,283,154,467,350,533,90,2863,FADN TF15 DE 2020
Germany,2021,609,434,291,162,480,360,547,93,2976,FADN TF15 DE 2021
Germany,2022,639,569,306,214,500,380,563,101,3272,Copa-Cogeca DE; Destatis cost index
Germany,2023,652,521,313,198,518,391,579,104,3276,Copa-Cogeca DE 2023; Destatis provisional
